;Advertising_num_days;CarName;ID;Price_rub;Seller;Seller_location;Views;Car_age;Gear_box;Parsing date;Autocode_checked;Owners_N;Last_owner_time_years;Warranty_end;Engine_capacity;Engine_hp;Engine_fuel_type;Body_type;Swap_type;Original_car_passport;Wheel_drive_type;run_km;Left_steering;is_metallic_color;Color;Opt_Обивка салона: комбинированный;Opt_Цвет салона: темный;Opt_Тонированные стекла;Opt_Ксеноновые фары;Opt_;"Opt_Легкосплавные диски: 17""";Opt_Иммобилайзер;Opt_Штатная;Opt_Бортовой компьютер;Opt_Датчик дождя;Opt_Датчик света;Opt_Круиз-контроль;Opt_Навигационная система;Opt_Обогрев зеркал;Opt_Омыватель фар;Opt_Центральный замок;Opt_Усилитель руля;Opt_Подогрев руля;Opt_Обогрев сидений;Opt_Количество мест: 5;Opt_Климат: климат-контроль 2-зонный;Opt_Электропривод зеркал;Opt_Стеклоподъемники: электро все;Opt_Сиденье водителя: электро;Opt_Сиденье пассажира: электро ;Opt_Регулировка руля: электро;Opt_Антиблокировочная система (ABS);Opt_Антипробуксовочная система;Opt_Система курсовой устойчивости;Opt_Подушки безопасности: передние и боковые;Opt_Парктроник;Opt_CD;Opt_TV;Opt_Обивка салона: кожа;Opt_Люк на крыше;"Opt_Легкосплавные диски: 16""";Opt_Обратная связь;Opt_Дистанционный запуск двигателя;Opt_Регулировка руля: в одной плоскости;"Opt_Легкосплавные диски: 18""";Opt_Сиденье водителя: с памятью положения;Opt_Регулировка руля: в двух плоскостях;Opt_Цвет салона: светлый;Opt_Подушки безопасности: водителя и пассажира;"Opt_Легкосплавные диски: 12""";Opt_Климат: климат-контроль 1-зонный;Opt_Стеклоподъемники: электро передние;Opt_Сиденье водителя: ручная ;Opt_Сиденье пассажира: ручная ;Opt_Обивка салона: велюр;Opt_Кассетник;Opt_Климат: климат-контроль 3-зонный;Opt_Стеклоподъемники: ручные;Opt_Обивка салона: ткань;Opt_Сиденье пассажира: с памятью положения;Opt_Количество мест: 2;"Opt_Легкосплавные диски: 15""";Opt_Количество мест: 4;"Opt_Легкосплавные диски: 19""";Opt_Сиденье пассажира: ручная по высоте;Opt_Сиденье водителя: ручная по высоте;Opt_Количество мест: 7;Opt_Климат: кондиционер;Opt_Газобаллонное оборудование;"Opt_Легкосплавные диски: 20""";"Opt_Легкосплавные диски: 14""";Opt_Подушки безопасности: водителя;Opt_Количество мест: 6;"Opt_Легкосплавные диски: 13""";"Opt_Легкосплавные диски: 22"""
0;4.0;Audi A6 III;1034927017;869999;other dealer;Москва, прочие адреса;9540;6;Автоматическая;2016-04-13;1;2;1.5833333333333335;0.0;3.0;290.0;бензин;Седан;Не интересует;1.0;Полный;99000.0;1.0;1;Черный;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;3.0;Audi A6 II;1035026097;377000;ДЕЛЬТА-АВТО;Москва, ул. Подвойского, дом 5/19;5454;12;Механическая;2016-04-13;0;1;1.5833333333333335;0.0;2.5;163.0;дизель;Универсал 5 дв.;Не интересует;1.0;Передний;75422.0;1.0;0;Красный;0;1;1;0;1;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;16.0;Audi A6 IV;1034078221;2390000;Ауди Центр Юг;Москва, Москва, р-он Строгино, ул. Маршала Прошлякова, д. 13;231;0;Роботизированная с двумя сцеплениями;2016-04-13;0;not mentioned;1.5833333333333335;0.0;1.8;190.0;бензин;Седан;Не интересует;1.0;Передний;0.0;1.0;0;Синий;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;3.0;Audi A6 IV;1034989845;1849000;Ауди Центр Москва;Москва, Бережковская набережная, д. 38, стр. 2;7777;1;Роботизированная с двумя сцеплениями;2016-04-13;0;1;1.5833333333333335;0.0;1.8;190.0;бензин;Седан;Не интересует;1.0;Передний;18000.0;1.0;1;Черный;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;29.0;Audi A6 IV;1033133583;1390000;person;Балашиха;3378;4;Вариатор;2016-04-13;0;1;3.6666666666666665;0.0;2.0;180.0;бензин;Седан;С доплатой покупателя;1.0;Передний;121000.0;1.0;0;Белый;1;1;1;0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;4.0;Audi A6 III;1034962583;642000;Ауди Центр Восток;Москва, г. Балашиха ш.Энтузиастов д.12Б;5824;9;Автоматическая;2016-04-13;0;1;1.5833333333333335;0.0;3.1;255.0;бензин;Седан;Не интересует;1.0;Полный;93298.0;1.0;1;Синий;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;4.0;Audi A6 I;1034975649;320000;person;Москва, прочие адреса;15188;20;Механическая;2016-04-13;0;3;0.16666666666666666;0.0;2.5;140.0;дизель;Седан;Не интересует;1.0;Полный постоянный;350000.0;1.0;1;Черный;0;1;1;1;0;0;1;1;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;4.0;Audi A6 III;1034972321;1100000;person;Юрьев-Польский;6147;6;Автоматическая;2016-04-13;0;2;2.5833333333333335;0.0;2.7;190.0;дизель;Седан;С доплатой покупателя;1.0;Полный;101876.0;1.0;1;Черный;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;4.0;Audi A6 III;1034960339;340000;person;Москва;26281271;8;Автоматическая;2016-04-13;0;1;1.5833333333333335;0.0;3.1;255.0;бензин;Седан;Не интересует;1.0;Полный;60000.0;1.0;1;Черный;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;7.0;Audi A6 II;1034757979;150000;person;Москва, Москва;1184170;18;Механическая;2016-04-13;0;2;1.5833333333333335;0.0;2.4;165.0;бензин;Универсал 5 дв.;Не интересует;1.0;Передний;300000.0;1.0;0;Синий;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;21.0;Audi A6 III;1033709021;410000;person;Москва, вднх;176581;12;Вариатор;2016-04-13;0;2;1.5833333333333335;0.0;2.4;177.0;бензин;Седан;С доплатой продавца;1.0;Передний;180000.0;1.0;0;Черный;0;1;0;1;0;0;0;1;0;1;1;0;0;1;1;1;1;0;1;0;0;1;1;1;1;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;22.0;Audi A6 IV;1033628631;1100000;person;Москва, прочие адреса;2894101;5;Роботизированная с двумя сцеплениями;2016-04-13;0;2;1.5833333333333335;0.0;2.8;204.0;бензин;Седан;Не интересует;1.0;Полный постоянный;141000.0;1.0;1;Черный;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;32.0;Audi A6 IV;1032912483;1720000;person;Москва, прочие адреса;71911;2;Вариатор;2016-04-13;0;1;1.4166666666666667;1.634530483172139;2.0;180.0;бензин;Седан;Не интересует;1.0;Передний;41200.0;1.0;0;Черный;0;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;33.0;Audi A6 III;1032830779;645000;person;Москва;286435;8;Вариатор;2016-04-13;0;1;0.0;0.0;2.0;140.0;дизель;Седан;Рассмотрю варианты;1.0;Передний;128000.0;1.0;0;Серый;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;10.0;Audi A6 IV;1034467666;1299000;other dealer;Москва, прочие адреса;26037;5;Роботизированная с двумя сцеплениями;2016-04-13;0;2;1.5833333333333335;0.2162946535520921;3.0;300.0;бензин;Седан;Не интересует;1.0;Полный постоянный;110000.0;1.0;1;Черный;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;44.0;Audi A6 III;1032092435;555000;person;Москва, москва;9711;10;Автоматическая;2016-04-13;0;2;0.0;0.0;3.1;255.0;бензин;Седан;Не интересует;1.0;Полный;153370.0;1.0;1;Cеребристый;0;1;0;1;0;1;0;1;1;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;16.0;Audi A6 III;1034069823;650000;person;Москва;1367;9;Вариатор;2016-04-13;0;3;1.5833333333333335;0.0;2.0;170.0;бензин;Седан;Не интересует;1.0;Передний;135000.0;1.0;1;Черный;0;1;0;1;0;0;0;0;1;1;1;0;0;1;1;1;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
